s_no,modification_name,category,compatibility,price_pkr,installation_time_hours,popularity_rating,warranty_years
97,Electric Tailgate,SUV Features,SUV,210000,3,4.6,3
98,Rear Sunshade Package,Interior,Sedan;Luxury Models,120000,2,4.4,2
99,Premium Roof Lighting,Interior,All Models,95000,2,4.5,2
100,Custom Exhaust Tips,Performance,Sports,145000,2,4.6,2
101,Launch Control System,Performance,Sports,520000,6,4.9,3
102,Track Mode Upgrade,Performance,Sports,680000,7,4.9,3
103,Dynamic Suspension Control,Performance,Luxury Models,620000,8,4.8,4
104,Electronic Differential Lock,Performance,SUV;Sports,470000,5,4.7,3
105,Adaptive LED Fog Lamps,Lighting,All Models,125000,2,4.5,2
106,Laser Headlight Upgrade,Lighting,Luxury Models,720000,7,4.9,4
107,Interior Fragrance System,Interior,Luxury Models,85000,1,4.4,2
108,Premium Cabin Insulation,Interior,All Models,210000,4,4.6,3
109,Rear Wireless Charging,Technology,SUV;Luxury Models,95000,1,4.5,2
110,Interactive Touch Controls,Technology,All Models,240000,3,4.7,3
111,AI Voice Navigation,Technology,All Models,290000,4,4.8,3
112,Cloud Connected Services,Technology,All Models,180000,2,4.6,2
113,Smart Security Alarm,Safety,All Models,140000,2,4.5,2
114,Remote Vehicle Tracking,Safety,All Models,220000,3,4.7,3
115,Advanced Anti Theft System,Safety,All Models,310000,4,4.8,3
116,Electric Running Boards,SUV Features,SUV,280000,4,4.7,3
117,Roof LED Light Bar,Lighting,SUV,170000,3,4.6,2
118,Offroad Skid Plate,Performance,SUV,240000,4,4.7,3
119,Heavy Duty Tow Package,Performance,SUV,360000,5,4.8,3
120,Rear Spoiler Carbon Edition,Exterior,Sports,390000,5,4.8,3
121,Gold Accent Interior,Interior,Luxury Models,260000,4,4.5,2
122,Luxury Curtain Package,Interior,Luxury Models,140000,2,4.4,2
123,AI Climate Optimization,Technology,All Models,330000,5,4.8,3
124,Gesture Control System,Technology,Luxury Models,410000,5,4.7,3
125,Smart Glass Windows,Technology,Luxury Models,860000,9,4.9,5
126,Rear Entertainment Tablet,Entertainment,SUV,290000,4,4.6,3
127,Gaming Console Integration,Entertainment,SUV;Luxury Models,340000,5,4.7,3
128,Premium Subwoofer Package,Entertainment,All Models,180000,3,4.8,2
129,AI Sound Optimization,Entertainment,All Models,260000,4,4.7,3
130,Dual Exhaust Performance Kit,Performance,Sports,480000,5,4.8,3
131,Electric Performance Boost,Performance,Electric Models,780000,8,4.9,4
132,Autonomous Driving Assist,Technology,Luxury Models,1200000,12,5.0,5
133,Self Parking AI Module,Technology,Luxury Models,680000,7,4.9,4
134,Premium Leather Dashboard,Interior,Luxury Models,320000,4,4.7,3
135,3D Surround Camera,Safety,All Models,410000,5,4.8,3
136,Emergency SOS System,Safety,All Models,150000,2,4.6,3
137,Rear Occupant Alert,Safety,SUV;Sedan,130000,2,4.5,2
138,Wireless Software Updates,Technology,Electric Models,250000,3,4.7,3
139,Performance Steering Kit,Performance,Sports,370000,5,4.8,3
140,Luxury Wood Trim,Interior,Luxury Models,280000,4,4.6,3
141,Panoramic Glass Roof,Exterior,SUV;Luxury Models,650000,8,4.9,5
142,Digital Key Access,Technology,All Models,160000,2,4.6,2
143,Rear Cabin Cooler,Interior,SUV,145000,2,4.5,2
144,Custom Racing Seats,Interior,Sports,420000,5,4.8,3
145,Carbon Ceramic Brakes,Performance,Sports,980000,10,5.0,4
146,Ultra Bright LED Cabin Lights,Lighting,All Models,85000,1,4.5,2
147,Performance Cooling System,Performance,Sports,560000,6,4.8,3
148,AI Route Optimization,Technology,Electric Models,310000,4,4.7,3
149,Smart Energy Monitoring,Technology,Electric Models,220000,3,4.6,3
150,Advanced Battery Cooling,Performance,Electric Models,640000,7,4.9,4
