user_id,car_type,color,engine,alloys,sunroof,spoiler,interior,budget_million_pkr,final_price_million_pkr
104,Sports,Silver,Petrol,Yes,No,Yes,Sport,12,13.4
105,Sedan,White,Electric,No,Yes,No,Luxury,7,8.8
106,SUV,Grey,Hybrid,Yes,Yes,No,Premium,9,10.8
107,Sports,Black,Petrol,Yes,No,Yes,Sport,14,15.1
108,Sedan,Silver,Petrol,No,No,No,Standard,4,5.4
109,SUV,Blue,Diesel,Yes,Yes,No,Premium,8,9.2
110,Sports,Red,Hybrid,Yes,No,Yes,Luxury,13,15.0
111,Sedan,White,Petrol,No,Yes,No,Premium,5,6.5
112,SUV,Black,Electric,Yes,Yes,No,Luxury,11,13.3
113,Sports,Yellow,Petrol,Yes,No,Yes,Sport,15,16.5
114,Sedan,Grey,Hybrid,No,Yes,No,Premium,6,7.4
115,SUV,White,Diesel,Yes,Yes,No,Standard,7,8.4
116,Sports,Blue,Electric,Yes,No,Yes,Luxury,14,16.1
117,Sedan,Black,Petrol,No,No,No,Standard,4,4.9
118,SUV,Grey,Hybrid,Yes,Yes,No,Premium,9,10.6
119,Sports,Red,Petrol,Yes,No,Yes,Sport,13,14.7
120,Sedan,Silver,Electric,No,Yes,No,Luxury,7,8.5
121,Sports,Black,Petrol,Yes,No,Yes,Sport,14,15.3
122,Sedan,White,Hybrid,No,Yes,No,Premium,6,7.1
123,SUV,Blue,Diesel,Yes,Yes,No,Premium,8,9.2
124,Sports,Red,Electric,Yes,No,Yes,Luxury,15,16.9
125,Sedan,Silver,Petrol,No,No,No,Standard,4,5.0
126,SUV,Grey,Hybrid,Yes,Yes,No,Premium,9,10.5
127,Sports,Yellow,Petrol,Yes,No,Yes,Sport,15,16.4
128,Sedan,Black,Electric,No,Yes,No,Luxury,7,8.7
129,SUV,White,Hybrid,Yes,Yes,No,Premium,9,10.4
130,Sports,Blue,Petrol,Yes,No,Yes,Sport,13,14.6
131,Sedan,Grey,Hybrid,No,Yes,No,Premium,6,7.3
132,SUV,Black,Electric,Yes,Yes,No,Luxury,11,13.1
133,Sports,Red,Petrol,Yes,No,Yes,Sport,14,15.2
134,Sedan,Silver,Electric,No,Yes,No,Luxury,7,8.6
135,SUV,Blue,Hybrid,Yes,Yes,No,Premium,8,9.6
136,Sports,Black,Petrol,Yes,No,Yes,Sport,14,15.4
137,Sedan,White,Petrol,No,No,No,Standard,5,6.0
138,SUV,Grey,Diesel,Yes,Yes,No,Premium,8,9.1
139,Sports,Yellow,Electric,Yes,No,Yes,Luxury,16,17.3
140,Sedan,Black,Hybrid,No,Yes,No,Premium,6,7.2
141,SUV,White,Hybrid,Yes,Yes,No,Premium,9,10.4
142,Sports,Red,Petrol,Yes,No,Yes,Sport,13,14.8
143,Sedan,Silver,Electric,No,Yes,No,Luxury,7,8.5
144,SUV,Black,Diesel,Yes,Yes,No,Premium,8,9.3
145,Sports,Blue,Petrol,Yes,No,Yes,Sport,14,15.5
146,Sedan,Grey,Hybrid,No,Yes,No,Premium,6,7.4
147,SUV,Blue,Electric,Yes,Yes,No,Luxury,11,13.2
148,Sports,Yellow,Petrol,Yes,No,Yes,Sport,15,16.6
149,Sedan,White,Petrol,No,No,No,Standard,5,6.1
150,SUV,Grey,Hybrid,Yes,Yes,No,Premium,9,10.7
